Employee ID,Name,Age,Gender,Department,Salary
E1001,Ali,37,Male,IT,42422
E1002,Aizaz,32,Male,HR,60301
E1003,Sara,29,Female,Finance,85644
E1004,Usman,24,Male,IT,33211
E1005,Areeba,50,Female,HR,56254
E1006,Bilal,37,Male,Marketing,58085
E1007,Zain,23,Male,Finance,52977
E1008,Hira,37,Male,IT,78812
E1009,Fahad,41,Male,Finance,30313
E1010,Nida,32,Female,Finance,60083
E1011,Hamza,50,Female,HR,76642
E1012,Sana,45,Female,IT,74828
E1013,Tariq,38,Male,IT,77187
E1014,Zoya,40,Female,Marketing,55678
E1015,Imran,33,Male,Finance,66463
E1016,Iqra,22,Female,Marketing,42909
E1017,Asif,32,Female,HR,88353
E1018,Mehwish,29,Male,HR,45460
E1019,Kashif,43,Female,Operations,39450
E1020,Rabia,44,Female,Operations,60209
