id,name,age,salary,experience,city,department,performance_rating
1,Usman,54.0,108603.0,21.0,Islamabad,IT,5.0
2,Zara,33.0,143569.0,27.0,Islamabad,Sales,5.0
3,Ayesha,36.0,82256.0,1.0,Lahore,HR,3.0
4,Hassan,55.0,119135.0,5.0,Quetta,Sales,4.0
5,Usman,59.0,65222.0,27.0,Multan,IT,1.0
6,Hina,23.0,101410.69565217392,27.0,Karachi,HR,5.0
7,Ahmed,21.0,101410.69565217392,17.229166666666668,Islamabad,Sales,5.0
8,Usman,25.0,126354.0,29.0,Lahore,Sales,5.0
9,Ayesha,23.0,114651.0,10.0,Lahore,IT,5.0
10,Hassan,48.0,93335.0,27.0,Multan,HR,3.0
11,Zara,37.0,101410.69565217392,24.0,Islamabad,IT,4.0
12,Ayesha,45.0,54538.0,38.0,Quetta,HR,1.0
13,Ayesha,53.0,138066.0,32.0,Islamabad,Marketing,4.0
14,Ahmed,29.0,100592.0,0.0,Multan,Finance,5.0
15,Fatima,55.0,101410.69565217392,26.0,Multan,Finance,5.0
16,Hassan,33.0,101410.69565217392,12.0,Islamabad,Finance,1.0
17,Sara,50.0,38110.0,2.0,Multan,IT,3.0
18,Ayesha,34.0,109309.0,38.0,Islamabad,Marketing,2.0
19,Fatima,27.0,57266.0,5.0,Karachi,HR,1.0
20,Sara,33.0,82992.0,7.0,Islamabad,Sales,2.0
21,Hassan,42.0,112948.0,26.0,Islamabad,HR,2.0
22,Ali,59.0,128806.0,17.229166666666668,Multan,Sales,3.0
23,Hina,40.0,36910.0,36.0,Multan,HR,2.0
24,Fatima,35.0,140989.0,17.229166666666668,Lahore,Marketing,2.0
25,Omar,37.0,120982.0,23.0,Lahore,Sales,3.0
26,Ali,21.0,149176.0,14.0,Karachi,IT,2.0
27,Hina,45.0,30206.0,31.0,Lahore,HR,2.0
28,Ahmed,44.0,117054.0,31.0,Islamabad,HR,2.0
29,Usman,48.0,117897.0,23.0,Multan,Sales,1.0
30,Zara,34.0,53419.0,11.0,Lahore,IT,1.0
31,Omar,21.0,80636.0,38.0,Lahore,IT,1.0
32,Ahmed,44.0,144238.0,1.0,Karachi,Marketing,3.0
33,Hassan,26.0,80015.0,2.0,Karachi,IT,5.0
34,Ahmed,21.0,147478.0,36.0,Islamabad,IT,2.0
35,Usman,43.0,137059.0,16.0,Multan,IT,2.0
36,Hassan,21.0,101410.69565217392,1.0,Karachi,Finance,3.0
37,Omar,27.0,140687.0,1.0,Lahore,Marketing,2.0
38,Usman,43.0,117939.0,17.229166666666668,Multan,HR,1.0
39,Sara,30.0,48141.0,17.229166666666668,Multan,Sales,5.0
40,Zara,36.0,110356.0,36.0,Lahore,HR,4.0
41,Omar,27.0,135878.0,31.0,Karachi,Marketing,2.0
42,Sara,54.0,101910.0,32.0,Lahore,Sales,5.0
43,Hina,54.0,86044.0,0.0,Multan,Marketing,4.0
44,Omar,52.0,97214.0,18.0,Quetta,IT,5.0
45,Hina,24.0,101410.69565217392,1.0,Quetta,Sales,4.0
46,Hassan,21.0,149324.0,25.0,Islamabad,IT,1.0
47,Sara,47.0,63827.0,17.229166666666668,Lahore,HR,4.0
48,Zara,26.0,85820.0,5.0,Lahore,HR,3.0
49,Usman,28.0,92623.0,17.229166666666668,Islamabad,Sales,4.0
50,Ayesha,27.0,111734.0,3.0,Islamabad,Sales,2.0
14,Ahmed,29.0,100592.0,0.0,Multan,Finance,5.0
40,Zara,36.0,110356.0,36.0,Lahore,HR,4.0
31,Omar,21.0,80636.0,38.0,Lahore,IT,1.0
